time,CO2
2021-07-10 00:00:00,390.21
2021-07-10 00:30:00,389.479
2021-07-10 01:00:00,389.213
2021-07-10 01:30:00,391.572
2021-07-10 02:00:00,395.868
2021-07-10 02:30:00,406.054
2021-07-10 03:00:00,424.41
2021-07-10 03:30:00,427.587
2021-07-10 04:00:00,430.331
2021-07-10 04:30:00,418.532
2021-07-10 05:00:00,410.87
2021-07-10 05:30:00,406.94
2021-07-10 06:00:00,408.145
2021-07-10 06:30:00,409.129
2021-07-10 07:00:00,409.111
2021-07-10 07:30:00,410.473
2021-07-10 08:00:00,414.276
2021-07-10 08:30:00,420.867
2021-07-10 09:00:00,423.28
2021-07-10 09:30:00,415.631
2021-07-10 10:00:00,417.587
2021-07-10 10:30:00,419.108
2021-07-10 11:00:00,413.958
2021-07-10 11:30:00,412.371
2021-07-10 12:00:00,410.576
2021-07-10 12:30:00,408.743
2021-07-10 13:00:00,409.189
2021-07-10 13:30:00,404.98
2021-07-10 14:00:00,400.994
2021-07-10 14:30:00,401.016
2021-07-10 15:00:00,401.098
2021-07-10 15:30:00,401.436
2021-07-10 16:00:00,401.47
2021-07-10 16:30:00,400.185
2021-07-10 17:00:00,398.281
2021-07-10 17:30:00,397.05
2021-07-10 18:00:00,395.847
2021-07-10 18:30:00,394.261
2021-07-10 19:00:00,393.519
2021-07-10 19:30:00,393.31
2021-07-10 20:00:00,396.084
2021-07-10 20:30:00,393.998
2021-07-10 21:00:00,393.416
2021-07-10 21:30:00,393.19
2021-07-10 22:00:00,393.213
2021-07-10 22:30:00,393.631
2021-07-10 23:00:00,392.273
2021-07-10 23:30:00,391.014
