TIMESTAMP_START,TIMESTAMP_END,FC,CO2,CO2_MIXING_RATIO,H2O,H2O_MIXING_RATIO,CH4,CH4_MIXING_RATIO,TAU,H,LE,TA,PA,RH,T_SONIC,VPD,MO_LENGTH,ZL,WS,WD,USTAR,WS_MAX,SW_IN,SW_OUT,LW_IN,LW_OUT,ALB,NETRAD,P,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_1_1,TS_2_1_2,TS_2_1_3,TS_2_1_4,TS_2_1_5,TS_2_1_6,TS_2_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,PPFD_IN,PPFD_OUT,SWC_1_1_1,SWC_1_1_2,SWC_1_1_3,SWC_1_1_4,SWC_1_1_5,SWC_1_1_6,SWC_1_1_A,SWC_1_2_1,SWC_1_2_2,SWC_1_2_3,SWC_1_2_4,SWC_1_2_5,SWC_1_2_6,SWC_1_2_A
202007092330,202007100000,-0.0573764,393.196,401.008,-9999.0,19.8666,-9999.0,-9999.0,0.284737,76.2808,16.6345,31.91101,97.635704,40.325,33.96701,28.1529,-146.982,-0.0183696,6.56757,138.362,0.50721,11.811,223.85,41.3176,435.2711,511.3745,0.184634,106.7437,0.0,-34.52667,-13.99794,-28.99193,-20.840849,37.40812,37.48617,37.75295,37.549076,28.30964,27.57946,29.93964,29.94756,29.2291,28.03349,28.839813,26.27896,25.99782,27.30941,26.69083,26.05058,26.64083,26.494738,29.2,28.3,26.7,24.9,22.6,28.6,29.8,26.7,24.9,22.6,28.9,27.8,26.7,25.4,22.8,481.0516,36.95884,0.1260533,0.1215167,0.06487333,0.1513067,0.17456,0.1793566,0.13627778,0.3840933,0.1901267,0.1268267,0.3765067,0.3208466,0.3664766,0.2941461
202007100000,202007100030,0.16908,393.352,401.07,-9999.0,19.6218,-9999.0,-9999.0,0.167943,37.7388,15.1725,31.511017,97.6558,40.7596,33.55902,27.321201,-134.265,-0.0201095,5.01158,143.584,0.389222,9.59827,142.9004,26.72785,446.7112,502.161,0.186939,60.65332,0.0,-20.90393,-8.409648,-16.13718,-12.5744095,37.04197,37.0995,37.39553,37.178997,28.33685,27.59192,29.91443,29.96564,29.2312,28.08272,28.853792,26.28065,26.00678,27.33855,26.72565,26.06618,26.64364,26.51024,29.2,28.3,26.9,24.9,22.6,28.6,29.8,26.9,24.9,22.6,28.9,27.8,26.7,25.4,22.8,309.9578,23.91802,0.12603,0.12151,0.06486667,0.1512833,0.1745533,0.17933,0.13626221,0.3841,0.19012,0.1268333,0.3764967,0.3208366,0.36649,0.29414612
202007100030,202007100100,0.34065,394.215,401.927,-9999.0,19.5635,-9999.0,-9999.0,0.167888,28.969,11.6916,31.320007,97.658,41.0837,33.295013,26.879599,-174.649,-0.0154596,5.15639,148.069,0.389027,8.4323,99.93394,18.5246,445.9488,498.2336,0.1854635,29.36066,0.0,-12.69089,-5.383358,-10.34957,-7.8192024,36.59356,36.63182,36.94847,36.724617,28.35016,27.58313,29.86039,29.96119,29.2008,28.11288,28.844759,26.28775,26.02377,27.37261,26.76047,26.09573,26.66315,26.533913,28.9,28.3,26.9,25.1,22.6,28.6,29.8,26.9,25.1,22.6,28.6,27.8,26.7,25.4,22.8,209.8373,16.47732,0.12601,0.12155,0.06488334,0.1513,0.1741367,0.1793133,0.1361989,0.3841033,0.1901233,0.1268467,0.3764667,0.3212866,0.36648,0.29421774
202007100100,202007100130,0.45446,394.096,402.118,-9999.0,20.3535,-9999.0,-9999.0,0.100434,18.856,0.0554389,30.166016,97.6858,45.6297,32.22,23.2246,-123.481,-0.0218657,4.0197,134.348,0.300322,7.22568,34.44667,5.563961,445.411,487.0902,0.1617621,-12.65424,0.0,-5.253945,-2.064182,-3.605089,-3.1274364,36.1201,36.15462,36.48638,36.2537,28.35474,27.56443,29.7995,29.93518,29.1454,28.12467,28.820654,26.29749,26.03749,27.40638,26.7998,26.12719,26.67433,26.557116,28.9,28.3,26.9,24.9,22.6,28.6,29.8,26.9,24.9,22.6,28.6,27.8,26.9,25.4,22.8,72.34675,5.501835,0.1260367,0.12158,0.06487333,0.1513233,0.1738233,0.1793133,0.13615833,0.3841066,0.1901367,0.1268167,0.37641,0.3215166,0.36648,0.29424444
202007100130,202007100200,2.18954,397.176,405.405,-9999.0,20.7205,-9999.0,-9999.0,0.0742858,-4.82914,2.22297,28.782013,97.692795,50.2944,30.815002,19.604599,304.658,0.00886239,2.48072,114.068,0.257704,5.15487,0.5710939,-1.22242,440.2915,475.6479,-2.049477,-33.54977,0.0,1.713475,0.8135487,2.830733,1.1135241,35.6306,35.63317,35.97793,35.747234,28.35827,27.534,29.72141,29.8958,29.07537,28.12334,28.784698,26.32686,26.04394,27.4278,26.8415,26.14822,26.69862,26.581156,28.9,28.3,26.9,24.9,22.6,28.3,29.5,26.9,24.9,22.6,28.3,27.8,26.9,25.4,22.8,11.34249,0.7181737,0.1260167,0.12153,0.06489334,0.15136,0.1738533,0.1793167,0.13616167,0.3841033,0.1901133,0.1268333,0.3767033,0.32149,0.3664633,0.2942844
202007100200,202007100230,5.24642,401.372,410.259,-9999.0,22.1401,-9999.0,-9999.0,0.0516052,-13.4055,10.5478,27.325012,97.7388,58.4414,29.507996,15.0589,63.1244,0.0427727,2.16233,76.2732,0.214277,4.8695,-3.166884,-1.313393,437.4797,467.126,0.4147793,-31.49954,0.0,7.676176,3.364992,7.850749,4.8020535,35.12613,35.05983,35.42546,35.203808,28.34141,27.49641,29.6377,29.84225,28.98923,28.11147,28.736412,26.35307,26.06675,27.45752,26.88444,26.17843,26.70874,26.608156,28.6,28.3,26.9,24.9,22.6,28.3,29.5,26.9,24.9,22.6,28.3,27.5,26.9,25.4,22.8,0.2629677,-0.03420132,0.12603,0.1210833,0.06491666,0.15139,0.1738866,0.1793133,0.13610332,0.3840933,0.1901167,0.1267933,0.3769966,0.3214666,0.3664433,0.2943183
202007100230,202007100300,3.01124,397.873,407.532,-9999.0,24.2756,-9999.0,-9999.0,0.134795,-4.56879,-10.3161,26.212006,97.8081,68.3207,28.696991,10.7515,778.287,0.00346916,2.81704,87.1217,0.345679,5.28019,-3.992326,-1.640541,416.5156,460.2617,0.4111789,-46.09714,0.0,11.28018,4.747077,10.60744,6.924778,34.62943,34.49742,34.88638,34.671078,28.31649,27.45798,29.5455,29.7592,28.88604,28.09182,28.676172,26.38274,26.07854,27.47348,26.92053,26.20152,26.72706,26.630646,28.3,28.0,26.9,24.9,22.6,28.3,29.5,26.9,24.9,22.6,28.3,27.5,26.9,25.4,22.8,-0.005887727,-0.06639279,0.1260467,0.1208633,0.06492,0.15142,0.1739267,0.1793267,0.1360839,0.3840633,0.19011,0.1268167,0.3769766,0.3214233,0.36642,0.29430166
202007100300,202007100330,3.06228,398.159,407.99,-9999.0,24.6912,-9999.0,-9999.0,0.141954,-4.66765,-5.65897,25.507996,97.8666,72.4597,28.140991,8.96546,820.238,0.00329173,2.59321,93.7848,0.354244,5.09662,-3.57639,-1.500088,415.0563,455.7527,0.4193158,-42.78403,0.0,14.39658,5.910902,13.75177,8.739461,34.12661,33.96595,34.37827,34.15694,28.26108,27.40845,29.45925,29.65648,28.77579,28.06499,28.60434,26.40342,26.09274,27.4932,26.96049,26.22482,26.74526,26.65332,28.3,28.0,26.9,24.9,22.6,28.0,29.2,26.9,24.9,22.6,28.0,27.5,26.9,25.4,22.8,8.443991e-09,-0.06438143,0.12604,0.1208933,0.06493333,0.1514533,0.1735433,0.1793566,0.13603663,0.38406,0.1901,0.12681,0.37695,0.3214067,0.3664166,0.29429054
202007100330,202007100400,3.56831,398.399,408.266,-9999.0,24.7673,-9999.0,-9999.0,0.179732,-6.41885,-3.53471,25.334991,97.853,73.4199,28.011017,8.564199,849.155,0.00317963,2.98097,95.8179,0.398521,5.59465,-3.225283,-1.605549,420.0016,454.6536,0.497634,-36.30634,0.0,16.02905,6.237216,14.80148,9.501161,33.65701,33.47157,33.91163,33.68007,28.20016,27.35477,29.36461,29.54012,28.67081,28.02116,28.52527,26.42675,26.10021,27.51172,26.99462,26.24219,26.75963,26.672522,28.0,28.0,26.9,25.1,22.6,28.0,29.2,26.9,25.1,22.6,28.0,27.5,26.9,25.4,22.8,-0.001962592,-0.06035763,0.1260633,0.1209,0.06494334,0.1507733,0.1732467,0.17937,0.13588277,0.3839133,0.1901033,0.1267933,0.37694,0.32141,0.3664133,0.2942622
202007100400,202007100430,2.61857,400.027,409.912,-9999.0,24.709,-9999.0,-9999.0,0.145473,2.79722,-6.10659,25.485992,97.905205,72.6332,28.108002,8.89747,-1419.34,-0.00190229,2.8192,102.702,0.358526,5.59605,-2.546884,-1.553089,431.0982,455.5633,0.6091387,-25.47409,0.0,16.62873,6.271107,15.32901,9.723648,33.2301,33.01786,33.47823,33.24206,28.12267,27.30875,29.2646,29.41533,28.55954,27.97336,28.44071,26.44707,26.11244,27.52107,27.02518,26.26428,26.77295,26.690498,28.0,28.0,26.9,25.1,22.6,27.8,28.9,26.9,25.1,22.6,27.8,27.5,26.9,25.4,22.8,-0.005887776,-0.06035763,0.12607,0.1209067,0.06460667,0.1508167,0.1732933,0.1793867,0.13584667,0.3837166,0.1901,0.1267967,0.3769766,0.3213867,0.3664133,0.29423165
